text,label,subject
"Under the federal Controlled Substance Act, marijuana is listed in the same Schedule I as heroin, even though marijuana is not a killer drug like heroin.",0,"crime,criminal-justice,drugs,government-regulation,public-health"
"During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.",0,"bipartisanship,elections,redistricting"
There are a lot of casinos across the country that have gone bankrupt.,0,"bankruptcy,economy,gambling,state-budget,state-finances,states"
"Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.",0,"crime,technology"
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",0,"economy,federal-budget"
"We have 10,000 baby boomers retiring every day.",0,"deficit,economy,social-security"
"US: Change in Income, 2009-13. Top 1%: +31.4%. Bottom 99%: +0.4%.",0,economy
Obamacare passed by just one vote in the Senate. It wouldnt have passed without Mark Warners vote.,0,"health-care,voting-record"
Wisconsin is below the national average in wage growth and job growth.,0,"economy,income,job-accomplishments,jobs,workers"
"As mayor, [Allan Fung] raised taxes three times.",0,"city-budget,debt,economy,history,job-accomplishments,labor,pensions,retirement,taxes,workers"
It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.,0,"immigration,legal-issues"
"Says if elected, he would be the first Mayor who lives east of 82nd.",0,elections
"Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.",0,elections
"Police officers in this state have that right, to check the immigration status of people they arrest.",0,"civil-rights,homeland-security,immigration"
I earned more votes in the state of Wisconsin than Donald Trump did in New York.,0,elections
"When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward.",0,"county-government,elections,infrastructure"
Fourteen million Americans mortgages are greater than the value of their homes.,0,"economy,housing"
"Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds.",0,"agriculture,animals,food-safety,public-health,science"
Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago.,0,"congress,economy,elections,job-accomplishments,jobs"
"The top 10 most well-paid CEOs in America received a combined $770 million in 2010, while the average American workers wage rose just 2 percent.",0,"corporations,economy,families,income"
Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.,0,"health-care,legal-issues"
"In altered photo, says Barack Obama wants more of Texans private data via health care.",0,"health-care,homeland-security,medicaid,privacy,taxes,welfare"
"This year, were off to our best private-sector jobs growth since 1999.",0,"economy,jobs"
"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""",0,"elections,ethics"
"In 2006, Donald Trump was hoping for a real estate crash.",0,"bankruptcy,candidates-biography,debt,economy,history,housing,income,jobs,stimulus,wealth"
Ted Cruz is mathematically out of winning the race.,0,elections
"Legally, it doesnt make any difference which state district you live in when running for Congress.",0,"elections,legal-issues,public-service"
Says Rick Perry provided in-state tuition... for illegal immigrants.,0,"education,immigration"
Says Milken Institute rated San Antonio as nations top-performing local economy.,0,economy
Says Hillary Clinton wants sanctuary cities.,0,"crime,immigration"
"As a senator, Barack Obama supported ""an amendment that basically gutted the legal temporary worker program.""",0,"immigration,abc-news-week,workers"
Savannah is home to the fastest-growing port in the nation.,0,"economy,transportation"
Did you know Wisconsins AFSCME union has lost 50%+ of its members since no longer requiring membership?,0,"elections,state-budget,unions"
"We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.",0,"economy,income"
"Of the 25 wealthiest nations, were the only one that doesnt provide basic health coverage.",0,health-care
"Says she has bipartisan support, including 53 sheriffs throughout the state, Democrats and Republicans.",0,elections
"Says Donald Trump is the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.",0,"elections,history"
Says Hillary Clinton helped get done the Childrens Health Insurance Program.,0,health-care
"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.",0,"health-care,medicare,new-hampshire-2012"
"Eleven states complete their [legislative] sessions within three calendar months, and another five only meet biennially.",0,"elections,government-efficiency"
Only about 6.8 percent of the (stimulus) money has actually been spent.,0,"economy,stimulus"
"When these [undocumented] students graduate from college, theyre still illegal aliens. They cannot get a job.",0,"children,civil-rights,education,human-rights,immigration,legal-issues,poverty,state-budget,welfare,workers"
"With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed.",0,health-care
Says Rick Perry turned down our invitation to meet President Barack Obama in El Paso.,0,"bipartisanship,immigration"
Ninety percent of the job growth in Virginia has been in the private sector.,0,"economy,jobs"
Says Donald Trump wants to get rid of the federal minimum wage.,0,"economy,jobs,labor,poverty,states,workers"
"The health care bill will subsidize families of four that make more than $80,000 a year.",0,health-care
Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.,0,"health-care,taxes"
"Were seeing now 30 straight months of private-sector job growth, 4.6 million jobs created.",0,"economy,jobs"
People think AIDS is done --its not done.,0,public-health
"We had a three-hour debate, no discussion about the national debt, very little about the economy.",0,"debates,elections"
Medicaid is the primary source of health insurance for 41.7 percent of Hispanic children in Georgia.,0,health-care
Eighty percent of all U.S. communities depend solely on trucks to deliver and supply the products sold in stores or ordered online.,0,"economy,government-regulation,transportation"
A majority in every state favors path to citizenship for undocumented immigrants.,0,immigration
"Even after collective bargaining reforms, most Wisconsin public employees are still paying about 12 to 13 percent of their health insurance premiums, while most state residents who work in the private sector pay 20 to 25 percent.",0,"health-care,state-budget,state-finances,unions"
"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",0,"economy,job-accomplishments,jobs"
Its been 17 years that weve had unemployment higher than the national average in Oregon.,0,"economy,jobs"
"In the past three years, state legislatures have enacted more of these restrictions (on abortion) than in the previous 10 years combined.",0,"abortion,health-care,women"
"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.",0,"children,families,health-care,women"
Health care premiums for consumers have doubled since 2001.,0,health-care
An estimated 56 million Americans don't have bank accounts.,0,economy
Democrats have now become the party of the [Atlanta] metro area and of blacks.,0,elections
We have 650 people who move to Texas every day.,0,"corrections-and-updates,economy,population,states"
Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention.,0,"economy,immigration,workers"
"Says at the state level were spending more on tax expenditures than we are on public safety, health care and education combined.",0,"education,health-care,public-safety,state-budget,taxes"
Teddy Roosevelt first called for (health care) reform nearly a century ago.,0,health-care
"One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we dont care.",0,"health-care,state-budget"
President Obama has broken his pledge to the American people to be transparent throughout (health care reform negotiations).,0,"florida,health-care"
Twenty-six men named William have been elected to statewide office and only seven women have had the honor.,0,"elections,women"
"With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night.",0,elections
"47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.",0,"health-care,taxes"
"The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.",0,economy
Rhode Island has a [inmate] recidivism rate of over 60 percent.,0,"crime,criminal-justice,economy"
"The typical Wisconsin worker makes $5,000 less each year than our neighbors in Minnesota under Gov. Scott Walkers policies.",0,"economy,workers"
Mercedes-Benz USA moving its headquarters to Atlanta will create at least 800 jobs.,0,"economy,jobs"
Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years.,0,"city-budget,city-government,economy,jobs"
"Says that when President Obama visited El Paso, he pronounced that the border with Mexico and the United States was safer than it ever was in history.",0,"immigration,new-hampshire-2012"
The 12 hottest years on record have come in the last 15 years.,0,environment
The federal government has made investments in science and technology inventing the products that led to the creation of Google.,0,technology
"In the past year, DeKalb has attracted and retained more than 2,300 jobs.",0,"economy,jobs"
"The last six polls, including this week's Time magazine, show that I beat John McCain by six or seven points.",0,elections
"We have empowered state insurance commissioners to review the rate hikes that are taking place in states. And in some states like North Carolina, they have already used it and rolled back premium increases by 25 percent.",0,"children,health-care,job-accomplishments"
Kathryn Starkey only attended half of those meetings.,0,"candidates-biography,environment,taxes"
Daniel Webster said he's out. Now he says he's in.,0,elections
The United States has experienced 40 straight months of unemployment at 8 percent or higher.,0,"economy,jobs"
In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.,0,"economy,immigration,public-safety,market-regulation"
"Hillary Clinton ""starts off with 47 percent of the country against her.""",0,elections
"Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.",0,"candidates-biography,elections"
SaysJeb Bush significantly cut early voting prior to the 2008 presidential election.,0,elections
"Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.",0,health-care
"When President Obama took office, we were losing 700,000 jobs a month. Now weve had job growth, I think, for 24 consecutive months.",0,"economy,jobs"
"If Obamacare is fully implemented, 30 million people will still be without health insurance.",0,health-care
U.S. Sen. Kay Bailey Hutchison has voted nine separate times to raise the national debt ceiling.,0,economy
Nearly 6 in 10 uninsured Americanscan get health insurance for what may be the equivalent of your cell phone bill.,0,health-care
Says that U.S. Rep. Allen West is a constituent of mine.,0,"elections,redistricting"
A Florida judge ruled parts of Obamacare unconstitutional.,0,"health-care,legal-issues,message-machine-2012"
Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit.,0,"health-care,supreme-court"
"Says using E-Verify is a fair amount of cost, about $20 per person that does not match.",0,immigration
We have created more jobs in this last year than the Bush administration (did) in eight years.,0,"economy,jobs"
"Says if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent.",0,"economy,jobs"
"Last year, Korea sold nearly half a million cars in our country. ... The United States, you know how much we sell to them? Six thousand. What kind of deal is that?",0,"economy,trade"
"@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.",0,"civil-rights,elections,immigration"
Says he and Bernie Sanders have very similar views on trade,0,"china,economy,labor,trade,workers"
Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,0,health-care
"Without a Medicaid expansion, 275,000 more Ohioans could be getting their primary care in emergency rooms, costing everybody a lot of money.",0,"health-care,medicaid,poverty"
The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.,0,"economy,new-hampshire-2012,workers"
"More than 27,000 Rhode Island jobs depend on trade with Canada.",0,"economy,energy"
"Romney said ""'No' to in-state tuition"" for illegal immigrants.",0,immigration
Says Mitt Romney and Paul Ryan want to turn Medicare into a voucher system.,0,"federal-budget,health-care,medicare"
"Floridas proposed amendment for medical marijuana would allow people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking.",0,"drugs,health-care,marijuana"
"Says Every year air pollution protections are delayed, another 34,000 people will die prematurely.",0,"environment,government-regulation,public-health"
Exit polls indicate that Democrats get over 70 percent of LGBT votes in federal elections.,0,"bipartisanship,elections,gays-and-lesbians"
"In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.",0,"economy,jobs"
This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.,0,immigration
"Once people become citizens under the DREAM Act and turn 21, they can sponsor their illegal immigrant parents for legalization.",0,immigration
"Paul Ryans budget keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",0,"congress,federal-budget,health-care,taxes"
"While in Congress, Nathan Deal was a leader when it came to protecting our borders.",0,immigration
"When you get a commercial pilots license, you learn to communicate in English no matter where you are in the world.",0,"immigration,states"
"H.B. 194, the Voter Suppression Bill, invalidates a vote where a voter properly marks the ballot in support of a particular candidate, but also writes in the name of that same candidate.",0,elections
Says his Act 10 reforms have saved the taxpayers some $3 billion.,0,"city-government,county-government,health-care,pensions,state-budget,state-finances,taxes"
"Taxpayers pay $18,000 a month for House Speaker Nancy Pelosis district office in downtown San Francisco.",0,"economy,federal-budget,message-machine,taxes"
"The CBO says that if you raise the minimum wage to $10.10 an hour, half a million people would lose their jobs.",0,"economy,jobs"
"Before I was state treasurer, my Rhode Island business helped create over 1,000 jobs.",0,"candidates-biography,economy,job-accomplishments,jobs,message-machine-2014"
"Austin is number one in Texas in startups, venture capital and patents.",0,"city-government,economy,small-business,technology"
Wisconsin is one of several states where you can change your early ballot if you think youve made a mistake.,0,"city-government,elections,states"
Three courts have found the new health care law constitutional and two have found it unconstitutional.,0,"health-care,legal-issues"
"John McCain has said the economy is ""not his strong suit.""",0,economy
Obama unilaterally announced he was delaying employer mandate through a blog post by a mid-level bureaucrat at the Department of Treasury.,0,"corrections-and-updates,health-care,legal-issues,taxes"
"Over 40 of our 100 (House of) Delegates seats go uncontested every year, and over 40 percent of our state senate seats go uncontested every year.",0,elections
The Tampa Bay Rays prices have been judged the most affordable in all of professional sports.,0,"baseball,economy,florida"
"Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.",0,elections
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life.,0,"economy,jobs,military,veterans"
"Currently, almost 40 percent of people with HIV are not diagnosed until they already have developed AIDS. And that can be up to 10 years after they first are infected with HIV.",0,public-health
Weve had Muslims in America since George Washington.,0,"history,immigration"
$2.4 million of the NIH dollars was spent on origami condoms.,0,"ebola,public-health"
Greg Abbott heads up a party whose platform calls for the repeal of the Voting Rights Act.,0,"civil-rights,elections"
"In Florida, when Jeb Bush was governor, state authorities conducted a deeply flawed purge of voters before the presidential election in 2000 and in2004 a plan to purge even more voters was headed off.",0,"diversity,elections"
Says Ohio has 77 job training programs spread across 13 state agencies.,0,"economy,jobs"
"Nevada is No. 1 in unemployment, violent crime, car theft, divorce, robberies and foreclosures.",0,"crime,economy,gambling"
We now have the greatest income inequality since the Great Depression.,0,economy
Obamacare was patterned after (Mitt Romneys) plan in Massachusetts.,0,health-care
Greece is not a big economy. Its about the size of metropolitan Miami.,0,"economy,foreign-policy"
"In 2008 (Mandel) was re-elected to a second term, representing a district with a 2:1 Democrat to Republican voter ratio.",0,elections
"Right now, we only keep 50 percent of Georgia Techs graduates.",0,"economy,education,jobs"
By registration fewer than 20 percent of Florida voters are Independents.,0,elections
"22 times Barack Obama said he did not have the authority to implement this type of anti-deportation measure. And then the day after he signed this into law, he said, quote, I just changed the law.",0,immigration
"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",0,"economy,energy,environment,jobs,transportation"
Says Rep. Steve Stockman basically wants gun-filled zones in schools.,0,"elections,guns"
Florida Statutes require (Attorney General Bill) McCollum to consult with members of Florida's Congressional delegation before filing a lawsuit against the health care reform law.,0,"florida,health-care,legal-issues"
RIPTA has really some of the fullest buses for its transit agency size around the country.,0,"economy,energy,environment,infrastructure,state-budget,transportation"
The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,0,"economy,history,income,workers"
"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",0,"economy,government-efficiency,job-accomplishments"
"As a student at Occidental College in Los Angeles from 1979 to 1981, there were days where folks couldnt go outside. because of all the pollution in the air.",0,"environment,history,public-health"
The Koch brothers are one of the biggest polluters in the country.,0,environment
Says the Congressional Budget Office estimates a cap-and-trade program would cost the average family the equivalent of a postage stamp a day.,0,"energy,environment"
"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped",0,"environment,science"
"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind.",0,economy
A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.,0,"candidates-biography,immigration"
Less than four cents of every health care dollar is spent on prevention and public health.,0,health-care
"Texas has 600,000 registered voters who dont have the kind of photo ID needed to vote.",0,"elections,history,states"
The actual deportations from the interior of the country are way down under President Obama.,0,immigration
"Closing the tobacco loophole would save Missouri taxpayers $50,000,000",0,"public-health,state-budget"
On running for the presidency in 2012,0,elections
The costs of cancer and all affiliated issues are over $20 billion a year to this state.,0,health-care
"Says that in Texas, Republican nominees get 40 percent of the Latino vote on average.",0,elections
Half of all CEOs say that the shutdown and the threat of shutdown set back their plans to hire over the next six months.,0,"economy,small-business"
Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.,0,elections
The top one-tenth of 1 percent of Americans own almost as much wealth as the bottom 90 percent.,0,"economy,income,retirement,social-security,wealth"
I took the state of Ohio from an $8 billion hole to a $2 billion surplus.,0,"economy,state-budget"
"Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.",0,"environment,housing,states,weather"
"The United States has an immigration system where only 6.5 percent of people who come here, come here based on labor and skill.",0,immigration
Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,0,elections
"The region I represent, both currently and in the future, has more automotive plants than the entire state of California.",0,economy
Russia has an economy the size of Italy.,0,"economy,foreign-policy"
The commercial property tax [in Providence] is second highest in the country behind Detroit.,0,"city-budget,economy,taxes"
Most Texans aren't millionaires.,0,"economy,elections"
Federal law adopted under Tommy Thompsons watch prohibits the government from negotiating for better prices on prescription drugs for senior citizens,0,"drugs,health-care,medicare"
"In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.",0,"congress,government-regulation,health-care,history,supreme-court"
"Agriculture contributes $71 billion to Georgias economy annually, making it the states largest industry.",0,"agriculture,economy,state-budget"
Says King Street Patriots held a fundraiser featuring an author who believes that registering the poor to vote is un-American.,0,"elections,poverty,welfare"
The economy is creating jobs at the fastest pace since 1999.,0,"economy,jobs"
Obama-Nelson economic record: Job creation ... at slowest post-recession rate since Great Depression.,0,"economy,jobs"
Knopp says he upheld a campaign promise not to join the Public Employees Retirement System (PERS).,0,"elections,pensions,retirement,state-budget,state-finances,transparency"
The majority of the Hispanic population and the growth (of the population) is U.S.-born.,0,immigration
"Opponent Holly Benson said that Just because youre poor doesnt mean youre unhealthy, it just means you have a lot more time to go running.",0,"candidates-biography,health-care"
"Rick Perry attempted to fast-track unnecessary coal-fired power plants, which degrade air quality and would cost billions. Fortunately, a court stopped him.",0,environment
"The radiation coming from the new TSA body scanners is equivalent to about three minutes worth of air travel by anybody, say, at 30,000 feet.",0,"homeland-security,science,transportation"
"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",0,"energy,environment,oil-spill"
CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.,0,"federal-budget,health-care"
The United States has a low voter turnout rate.,0,elections
"Says President Barack Obama initially said the national health-care mandate isnt a tax, but his administration now says it is a tax.",0,"health-care,taxes"
"In the first round of repayments from financial institutions that received TARP money, the government has actually turned a profit.",0,economy
Says six of the states 58 family planning centers had to close because of Gov. Chris Christies budget cuts.,0,"health-care,women"
"With one stroke of his pen, President Bush has denied health insurance to 3.8 million kids who were due to get it under this bipartisan expansion of the Children's Health Insurance Program.",0,health-care
Says Donald Trump won more counties than any candidate on our side since Ronald Reagan.,0,elections
Says he has sued the Obama administration 25 times.,0,"civil-rights,environment,legal-issues,redistricting"
Our trade with Mexico is $720 million a day; thats our No. 1 trading partner.,0,"economy,foreign-policy,trade"
The Republican Party has 21 percent party ID and shrinking.,0,elections
"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit.""",0,"health-care,state-budget"
Up to half of all Americans have a pre-existing condition.,0,health-care
All (Maryland) crabs are born in Virginia.,0,"animals,science"
(Obamacare) is a bill which has never once had a majority of Americans favor it.,0,"health-care,polls,pundits"
"The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.",0,health-care
"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",0,"economy,income"
Says a Republican-drawn map of proposed U.S. House districts for Texas gerrymanders more than nine million Latinos in Texas to make sure that we have no more electoral opportunity than we did in 1991.,0,"elections,redistricting"
Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.,0,"economy,jobs,poverty"
"Says Paul Ryan voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasnt paid for.",0,"afghanistan,deficit,federal-budget,health-care,iraq,taxes"
"The DREAM Act was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadnt changed. ... The only thing that had changed was politics.",0,immigration
"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.",0,"foreign-policy,government-regulation,immigration,jobs"
California has seen a 56 percent decline in the gun murder rate since the 1990s.,0,"crime,elections,guns"
Congress will begin its recess without having allocated one penny to fight Zika.,0,public-health
"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.",0,elections
"Because of the 2011 debt ceiling fight, the stock market lost 2,000 points.",0,economy
We have the third-lowest minimum wage of developed countries.,0,"debates,economy,income,jobs,labor,workers"
"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",0,"autism,children,disability,education,families,immigration,state-budget,state-finances"
"We admit about 100,000 permanent immigrants from the Middle East every year.",0,immigration
"Since 2008, Gwinnett Countys population has grown 15 percent, while the county government staff has increased only 1 percent.",0,"census,county-budget,county-government,economy,jobs,public-safety,public-service,workers"
"Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.",0,"corrections-and-updates,economy,federal-budget,history,stimulus"
Says Travis Countys unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.,0,"corrections-and-updates,economy,jobs,poverty"
Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,0,elections
"Because of the new health care law, Americans no longer will see their coverage dropped or capped when illness strikes.",0,"health-care,job-accomplishments,message-machine-2012"
"Within just a few years, immigration as a share of national population is set to break all historical records.",0,immigration
"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",0,"health-care,taxes"
"With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.",0,health-care
Connecticuts take on slot machines is 25 cents on the dollar. And the states take on table games: zero.,0,"economy,gambling,state-budget,state-finances"
"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",0,science
"Fewer black and Latino men participate in the labor force, compared to young white men.",0,"diversity,economy,jobs"
"The Buffett rule raises virtually no money, maybe a day and a half of our borrowing per year.",0,"deficit,economy,federal-budget,taxes"
The proposed Keystone XL oil pipeline is a bipartisan proposal.,0,"bipartisanship,climate-change,environment"
"Has created 60,000 net new jobs since taking office.",0,"economy,jobs"
"Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.",0,"environment,water"
Says Texas has the 15th largest economy in the world.,0,"economy,states"
Ninety-five percent of all the wages in Texas are above minimum wage.,0,"economy,workers"
"Says, I-205, six miles of which runs through my district, already carries more traffic than I-5.",0,"environment,infrastructure,state-budget,transportation"
I am a candidate. I have not withdrawn.,0,elections
Seventy of Ohios 88 counties now have more than 25 percent of their residents eligible for emergency food.,0,"economy,families,hunger,poverty"
"In Texas, there are 668 Democratic Hispanic elected officials to the 60 in the Republican Party.",0,"candidates-biography,diversity,elections,history"
Rhode Islands exports have increased by 53 percent in the last two years.,0,"economy,states,trade"
